"Date","Test #","Sample ID","Grade Match #1","Grade Match #2","Grade Match #3","Mode","AVG","H","He","Li","Be","B","C","N","O","F","Ne","Na","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Kr","Rb","Sr","Y","Zr","Nb","Mo","Tc","Ru","Rh","Pd","Ag","Cd","In","Sn","Sb","Te","I","Xe","Cs","Ba","La","Ce","Pr","Nd","Pm","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Re","Os","Ir","Pt","Au","Hg","Tl","Pb","Bi","Po","At","Rn","Fr","Ra","Ac","Th","Pa","U","Np","Pu","Am","Cm","Bk","Cf","Es","Fm","Md","No","Lr","Rf","Db","Sg","Bh","Hs","Mt","Ds","Rg","Cn","Uut","Fl","Uup","Lv","Uus","Uuo"
"2023-01-05 14:30:33","120","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","2334","< 1","","","2.85","9.19","","1.65","169","92","1425","9.41","< 1","146","24","117","","","< 1","1.2","","","33","1037","","10","57","28","","","","","< 1","< 1","","15","< 1","4.0","","","","522","100","88","29","< 1","","","","","","","","","","","","","","","","","","","","3.4","< 1","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 14:35:02","121","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","314","231","","","7279","4.80","","5194","73","< 1","1113","4.33","< 1","9.8","32","73","","","1.7","1.2","","","9.8","246","","< 1","2.5","9.9","","","","","< 1","< 1","","< 1","< 1","< 1","","","","284","< 1","38","316","< 1","","","","","","","","","","","","","","","","","","","","< 1","< 1","6.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 14:39:54","122","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","403","243","","","1.75","5.27","","4290","76","315","810","3.96","7.1","137","21","57","","","1.3","< 1","","","70","245","","37","8.7","9.9","","","","","< 1","1.5","","< 1","2.3","5.3","","","","350","20","82","52","< 1","","","","","","","","","","","","","","","","","","","","1.1","< 1","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 14:44:21","123","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","371","122","","","1.44","9.10","","8268","145","346","1136","6.04","< 1","154","37","61","","","< 1","2.4","","","33","427","","< 1","22","13","","","","","< 1","< 1","","8.8","< 1","7.6","","","","553","16","98","< 1","98","","","","","","","","","","","","","","","","","","","","1.5","< 1","3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 14:48:56","124","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","< 1","< 1","","","5107",">10%","","8635","292","< 1","1911",">10%","< 1","23","171","86","","","2.0","2.3","","","5.9","157","","< 1","1.1","25","","","","","< 1","< 1","","4.5","3.4","5.0","","","","243","< 1","62","< 1","170","","","","","","","","","","","","","","","","","","","","3.0","< 1","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 14:55:13","125","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","350","< 1","","","9091",">10%","","8909","187","36","1489","8.22","< 1","42","156","76","","","< 1","1.5","","","14","384","","< 1","1.7","21","","","","","< 1","< 1","","5.9","< 1","24","","","","277","< 1","< 1","256","< 1","","","","","","","","","","","","","","","","","","","","2.5","4.9","6.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 15:00:47","126","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","< 1","874","","","251",">10%","","21","2.4","7.5","26","104","6.5","7.5","< 1","31","","","< 1","< 1","","","< 1","111","","< 1","< 1","< 1","","","","","< 1","< 1","","< 1","< 1","17","","","","25","47","31","171","< 1","","","","","","","","","","","","","","","","","","","","< 1","< 1","< 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 15:05:14","127","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","< 1","< 1","","","314","6033","","2.6","7.9","2967","1075","6.39","29","2560","< 1","35","","","< 1","< 1","","","< 1","< 1","","< 1","< 1","10","","","","","< 1","< 1","","5.4","< 1","12","","","","56","75","52","156","< 1","","","","","","","","","","","","","","","","","","","","3.0","< 1","< 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 15:09:52","128","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","< 1","441","","","2.92","4727","","525","13","24","531","4505","< 1","5.5","< 1","22","","","15","2.2","","","256","28","","98","18","< 1","","","","","< 1","< 1","","< 1","< 1","1.1","","","","24","1.5","91","194","< 1","","","","","","","","","","","","","","","","","","","","1.9","< 1","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 15:14:17","129","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","< 1","312","","","2.90","3583","","311","9.5","18","611","3877","< 1","< 1","< 1","23","","","15","< 1","","","297","6.6","","94","20","< 1","","","","","< 1","< 1","","< 1","< 1","< 1","","","","59","50","7.9","< 1","< 1","","","","","","","","","","","","","","","","","","","","2.2","< 1","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 15:19:19","130","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","2155","181","","","2.14","3953","","167","8.5","18","293","2329","5.7","11","209","225","","","17","10","","","3877","89","","< 1","178","12","","","","","< 1","4.0","","542","< 1","< 1","","","","31","28","< 1","< 1","< 1","","","","","","","","","","","","","","","","","","","","2.0","32","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 15:24:11","131","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","< 1","1816","","","2852",">10%","","3.05","351","340","1572",">10%","< 1","179","72","148","","","< 1","3.1","","","8.1","240","","< 1","15","29","","","","","< 1","< 1","","14","3.4","4.3","","","","8.3","86","11","138","< 1","","","","","","","","","","","","","","","","","","","","2.9","2.9","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 15:28:55","132","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","< 1","< 1","","","312","4314","","104","5.2","3508","2548",">10%","< 1","2029","< 1","71","","","< 1","1.9","","","2.6","< 1","","< 1","< 1","34","","","","","< 1","< 1","","5.4","< 1","11","","","","82","4.0","47","< 1","< 1","","","","","","","","","","","","","","","","","","","","4.4","< 1","< 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 15:33:29","133","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","84","185","","","3.72","5965","","540","34","38","142","1.14","< 1","12","11","45","","","14","1.5","","","330","10","","330","62","< 1","","","","","< 1","2.2","","12","< 1","12","","","","119","102","231","69","98","","","","","","","","","","","","","","","","","","","","< 1","2.1","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 15:38:13","134","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","< 1","423","","","2910",">10%","","1202","82","11","1394","6.15","< 1","111","< 1","47","","","< 1","2.1","","","3.8","251","","< 1","< 1","13","","","","","< 1","< 1","","6.7","< 1","< 1","","","","74","< 1","64","117","259","","","","","","","","","","","","","","","","","","","","2.4","< 1","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 15:43:14","135","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","1285","762","","","4.27","6.28","","897","65","25","2093","3.65","< 1","30","< 1","211","","","8.5","12","","","226","250","","241","51","16","","","","","< 1","< 1","","< 1","6.1","6.8","","","","341","101","154","< 1","67","","","","","","","","","","","","","","","","","","","","4.9","5.2","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
