Channel#,Intensity
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,1
26,1
27,4
28,7
29,8
30,18
31,34
32,36
33,44
34,65
35,103
36,101
37,101
38,95
39,113
40,126
41,143
42,177
43,200
44,208
45,290
46,437
47,630
48,638
49,543
50,437
51,337
52,328
53,316
54,409
55,412
56,429
57,384
58,350
59,404
60,694
61,939
62,1198
63,1294
64,1125
65,730
66,477
67,356
68,310
69,440
70,837
71,2222
72,5108
73,9694
74,13576
75,14267
76,11497
77,7226
78,4026
79,2123
80,1395
81,1346
82,3142
83,9631
84,27384
85,58539
86,97056
87,122583
88,118008
89,86602
90,51014
91,25583
92,12779
93,7292
94,4758
95,3629
96,3533
97,4105
98,4235
99,3856
100,3171
101,2491
102,1841
103,1402
104,1042
105,866
106,813
107,806
108,803
109,856
110,919
111,1025
112,1241
113,1573
114,1733
115,1935
116,1964
117,1940
118,1913
119,1819
120,1702
121,1571
122,1484
123,1382
124,1310
125,1408
126,1529
127,1623
128,2031
129,2747
130,4575
131,7452
132,12303
133,18996
134,25550
135,29173
136,28209
137,23285
138,17633
139,14312
140,14054
141,15964
142,17085
143,17147
144,15826
145,14609
146,15061
147,16398
148,17275
149,16245
150,13115
151,9274
152,5998
153,3760
154,2629
155,2304
156,2306
157,2547
158,3054
159,3480
160,3669
161,4028
162,5318
163,7378
164,10303
165,12905
166,14308
167,13424
168,10871
169,7426
170,4919
171,3165
172,2339
173,2163
174,2147
175,2406
176,3055
177,4508
178,8401
179,18327
180,39787
181,81796
182,144187
183,217001
184,276206
185,294963
186,264093
187,198620
188,126447
189,68199
190,31927
191,13612
192,6496
193,4192
194,4329
195,5969
196,9319
197,15249
198,23846
199,33569
200,42226
201,45231
202,41602
203,32887
204,22591
205,13783
206,7680
207,4466
208,2993
209,2458
210,2242
211,2283
212,2282
213,2195
214,2368
215,2291
216,2508
217,2721
218,3333
219,4961
220,8680
221,15765
222,27546
223,42650
224,58746
225,69479
226,71297
227,63312
228,49061
229,33140
230,20354
231,12383
232,7734
233,5744
234,4716
235,4301
236,4000
237,3803
238,3788
239,3822
240,4237
241,4895
242,6215
243,8191
244,10911
245,13505
246,15432
247,15959
248,14921
249,12666
250,9767
251,7347
252,5524
253,4474
254,3689
255,3627
256,3570
257,3471
258,3638
259,3479
260,3636
261,3604
262,3809
263,3748
264,3808
265,4102
266,4503
267,4935
268,5407
269,6053
270,6460
271,6571
272,6282
273,5782
274,5210
275,4719
276,4076
277,3947
278,3662
279,3533
280,3533
281,3532
282,3494
283,3652
284,3476
285,3494
286,3605
287,3620
288,3732
289,4044
290,4716
291,5635
292,6986
293,8253
294,9025
295,9239
296,8887
297,7734
298,6626
299,5531
300,4585
301,3862
302,3638
303,3545
304,3565
305,3515
306,3721
307,3795
308,3916
309,4391
310,5260
311,7484
312,12454
313,23721
314,44725
315,78750
316,129171
317,189833
318,251131
319,297156
320,311389
321,292861
322,244962
323,183347
324,123318
325,74784
326,41979
327,21866
328,11860
329,7168
330,5008
331,4335
332,4076
333,3993
334,3939
335,4022
336,4009
337,4012
338,3856
339,4192
340,4164
341,4275
342,4592
343,4835
344,5686
345,6981
346,9393
347,13597
348,19650
349,27869
350,36467
351,44293
352,49063
353,49199
354,44989
355,37482
356,28197
357,19769
358,12537
359,7948
360,4905
361,3478
362,2637
363,2378
364,2384
365,2362
366,2575
367,2564
368,2680
369,2825
370,2717
371,2805
372,2743
373,2614
374,2517
375,2382
376,2233
377,2255
378,2048
379,2150
380,2117
381,2071
382,2083
383,2098
384,2032
385,2093
386,2050
387,2081
388,2011
389,1957
390,2001
391,1949
392,1943
393,1988
394,2013
395,1904
396,1880
397,1947
398,1936
399,2019
400,2030
401,2081
402,2049
403,2246
404,2336
405,2344
406,2521
407,2571
408,2537
409,2460
410,2352
411,2265
412,2071
413,1978
414,1913
415,1891
416,1720
417,1618
418,1628
419,1602
420,1636
421,1672
422,1661
423,1562
424,1570
425,1521
426,1615
427,1653
428,1676
429,1536
430,1578
431,1520
432,1507
433,1472
434,1552
435,1495
436,1488
437,1456
438,1438
439,1405
